[2026-03-03 17:57:07] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(wedding-car.webp): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-03 17:58:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-04 05:25:43] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-04 05:25:47] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-04 05:25:47] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-04 05:25:49] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-04 05:25:57] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-04 05:25:58] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-04 05:25:58] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-04 05:25:58] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
